"#""pop2023""",pop2020,growth,name,aland_sqmi,intptlat,intptlong,slug,usps,lng,lat,rank,density
44596,41140,0.02652,Waxahachie,48.84,32.4025,-96.8445,waxahachie-tx,TX,-96.8445,32.4025,85,913
44279,42983,0.00985,Coppell,14.5,32.9633,-96.9906,coppell-tx,TX,-96.9906,32.9633,86,3054
42836,41213,0.01279,Friendswood,20.631,29.5101,-95.1961,friendswood-tx,TX,-95.1961,29.5101,87,2076
42748,41275,0.01162,Lancaster,33.242,32.5935,-96.7733,lancaster-tx,TX,-96.7733,32.5935,88,1286
41748,35217,0.05502,Timberwood Park,20.401,29.7007,-98.4832,timberwood-park-tx,TX,-98.4832,29.7007,89,2046
41507,40160,0.01094,Weslaco,17.589,26.165,-97.9893,weslaco-tx,TX,-97.9893,26.165,90,2360
41360,40706,0.0053,Duncanville,11.202,32.646,-96.9139,duncanville-tx,TX,-96.9139,32.646,91,3692
41337,40413,0.00751,Hurst,9.968,32.8366,-97.1806,hurst-tx,TX,-97.1806,32.8366,92,4147
40580,38282,0.01924,Rosenberg,36.867,29.5499,-95.8214,rosenberg-tx,TX,-95.8214,29.5499,93,1101
40252,35125,0.04434,Midlothian,63.414,32.4694,-96.9907,midlothian-tx,TX,-96.9907,32.4694,94,635
38205,35991,0.0197,Farmers Branch,11.881,32.9278,-96.8785,farmers-branch-tx,TX,-96.8785,32.9278,95,3216
38062,36670,0.01234,Copperas Cove,18.038,31.1196,-97.9144,copperas-cove-tx,TX,-97.9144,31.1196,96,2110
37355,32276,0.04747,Cibolo,20.646,29.5701,-98.2178,cibolo-tx,TX,-98.2178,29.5701,97,1809
37037,36914,0.00111,Mission Bend,4.642,29.6937,-95.6663,mission-bend-tx,TX,-95.6663,29.6937,98,7979
36529,33340,0.02997,West Odessa,62.722,31.8382,-102.5,west-odessa-tx,TX,-102.5,31.8382,99,582
36399,30174,0.06045,Prosper,25.187,33.2413,-96.8124,prosper-tx,TX,-96.8124,33.2413,100,1445
36127,36193,-0.00061,Texarkana,29.049,33.4481,-94.0812,texarkana-tx,TX,-94.0812,33.4481,101,1244
35726,35294,0.00405,San Juan,11.622,26.1903,-98.152,san-juan-tx,TX,-98.152,26.1903,102,3074
35520,35124,0.00373,La Porte,18.629,29.6674,-95.0491,la-porte-tx,TX,-95.0491,29.6674,103,1907
35239,34495,0.00709,Deer Park,10.473,29.6873,-95.1159,deer-park-tx,TX,-95.1159,29.6873,104,3365
35017,33097,0.01862,Harker Heights,15.655,31.0567,-97.6442,harker-heights-tx,TX,-97.6442,31.0567,105,2237
34993,34306,0.00659,Socorro,21.947,31.6385,-106.257,socorro-tx,TX,-106.257,31.6385,106,1594
34397,34673,-0.00267,Del Rio,20.418,29.373,-100.882,del-rio-tx,TX,-100.882,29.373,107,1685
34082,31124,0.02979,Canyon Lake,142.711,29.8758,-98.2612,canyon-lake-tx,TX,-98.2612,29.8758,108,239
33867,34143,-0.00271,Lufkin,34.207,31.3229,-94.729,lufkin-tx,TX,-94.729,31.3229,109,990
32672,31265,0.01456,Southlake,21.832,32.9545,-97.1489,southlake-tx,TX,-97.1489,32.9545,110,1497
32534,30854,0.01751,Weatherford,27.121,32.7532,-97.7719,weatherford-tx,TX,-97.7719,32.7532,111,1200
31958,31352,0.00636,Cleburne,35.535,32.354,-97.4109,cleburne-tx,TX,-97.4109,32.354,112,899
31892,32147,-0.00266,Nacogdoches,27.592,31.6124,-94.652,nacogdoches-tx,TX,-94.652,31.6124,113,1156
31441,27577,0.04272,Hutto,8.378,30.539,-97.5513,hutto-tx,TX,-97.5513,30.539,114,3753
30711,29433,0.01407,Seguin,37.979,29.5889,-97.9666,seguin-tx,TX,-97.9666,29.5889,115,809
30247,27466,0.03162,Converse,8.458,29.5076,-98.3078,converse-tx,TX,-98.3078,29.5076,116,3576
29134,27103,0.02379,Sachse,9.77,32.969,-96.5795,sachse-tx,TX,-96.5795,32.969,117,2982
28947,28164,0.0091,Greenville,32.287,33.1119,-96.1103,greenville-tx,TX,-96.1103,33.1119,118,897
28873,27685,0.01391,Balch Springs,9.024,32.7139,-96.6181,balch-springs-tx,TX,-96.6181,32.7139,119,3200
28694,28130,0.0066,Eagle Pass,9.421,28.7128,-100.485,eagle-pass-tx,TX,-100.485,28.7128,120,3046
28576,28177,0.00468,Lake Jackson,19.74,29.0509,-95.4512,lake-jackson-tx,TX,-95.4512,29.0509,121,1448
27956,27098,0.01034,Alvin,24.211,29.3406,-95.5521,alvin-tx,TX,-95.5521,29.3406,122,1155
27908,28295,-0.0046,Fort Hood,15.676,31.1346,-97.78,fort-hood-tx,TX,-97.78,31.1346,123,1780
27032,26057,0.01217,Colleyville,13.111,32.8915,-97.1497,colleyville-tx,TX,-97.1497,32.8915,124,2062
26112,24486,0.0212,Fresno,8.529,29.5375,-95.4687,fresno-tx,TX,-95.4687,29.5375,125,3062
26092,23455,0.03486,Forney,14.797,32.7426,-96.4529,forney-tx,TX,-96.4529,32.7426,126,1763
25941,25278,0.00859,University Park,3.686,32.8486,-96.7952,university-park-tx,TX,-96.7952,32.8486,127,7038
